*BEGIN_DEBUG_OUTPUT*
83
12,18,30,46,49,86,186,191,224,307,325,337,377,394,429,436,641,701,703,705,719,727,866,877,919,921,967,977,992,996, 5790
10,29,40,79,163,174,187,223,252,277,279,328,345,440,485,497,636,726,733,744,791,803,822,859,869,876,893,947,979,993, 5797
7,37,38,69,88,157,170,185,231,302,308,331,343,358,388,495,669,706,766,848,882,900,906,909,930,961,964,965,968,984, 5798
0,21,110,120,125,127,253,267,352,354,362,363,370,377,508,524,536,642,675,679,697,715,753,786,788,828,850,887,902,980, 5800
0,21,110,120,125,127,253,267,352,354,362,363,370,377,508,524,536,642,675,679,697,715,753,786,788,828,850,887,902,980, 5800
14,44,81,95,97,285,286,321,326,337,398,399,406,435,436,446,503,517,679,687,694,699,756,757,783,883,944,945,947,957, 5801
17,113,133,141,181,222,233,268,319,372,393,412,415,432,447,448,525,670,732,737,744,784,808,809,828,845,931,980,985,996, 5802
0,42,85,123,127,138,204,241,283,319,322,335,343,354,390,464,472,649,699,712,715,738,748,751,762,769,784,857,948,975, 5807
0,42,85,123,127,138,160,241,283,319,322,335,343,354,390,464,472,649,699,712,715,738,748,751,762,769,784,857,948,975, 5808
5,25,44,72,88,156,206,219,230,255,292,315,368,379,414,535,666,691,729,737,785,789,807,808,858,866,929,943,964,990, 5810
59,122,165,172,175,186,207,234,312,339,348,358,391,420,433,524,530,638,649,715,735,788,811,819,847,892,900,922,950,978, 5812
11,36,47,77,100,141,155,238,241,271,303,378,388,418,431,528,637,694,725,775,797,805,810,837,854,885,886,909,945,967, 5813
13,30,46,60,75,123,168,170,186,224,225,232,235,248,276,542,547,646,680,684,707,730,751,800,814,873,900,908,934,946, 5818
16,124,129,140,176,178,224,250,382,385,407,422,429,468,513,535,539,644,651,733,746,754,799,840,902,925,943,961,982,993, 5820
11,14,76,97,207,221,249,259,319,343,348,377,471,476,498,518,529,651,657,659,675,721,729,799,804,812,822,874,935,992, 5820
11,14,76,97,207,221,249,259,319,343,348,377,471,476,498,518,529,651,657,659,675,721,729,799,804,812,822,874,935,992, 5820
27,46,100,112,154,225,234,237,261,281,396,415,438,447,450,488,539,675,677,683,695,724,803,820,844,927,931,936,945,957, 5824
27,46,100,112,154,225,234,237,261,281,396,415,438,447,450,488,539,675,677,683,695,724,803,820,844,927,931,936,945,957, 5824
