*BEGIN_DEBUG_OUTPUT*
83
16,57,71,204,268,282,283,297,326,339,397,452,511,525,650,686,718,734,750,762,801,809,827,839,848,853,861,862,883,931, 5554
12,106,131,147,218,228,243,311,322,345,395,463,486,513,646,652,660,707,709,710,783,796,798,807,862,871,904,957,961,993, 5583
32,47,67,76,110,114,269,282,286,302,319,347,357,421,638,668,691,706,719,737,774,789,803,852,889,898,912,925,932,993, 5592
45,102,129,260,283,349,353,358,367,385,397,404,424,464,470,664,665,667,672,674,679,712,756,876,886,890,933,948,965,998, 5602
52,60,65,103,138,194,216,259,315,325,326,401,414,526,692,725,736,742,792,795,835,881,897,906,939,957,959,978,989,996, 5610
33,46,65,107,206,207,252,260,289,332,376,394,469,492,658,682,701,706,714,726,734,752,800,822,837,872,951,961,977,986, 5621
50,121,158,164,204,207,285,327,374,407,420,450,484,499,517,664,667,686,707,728,762,818,819,838,840,848,900,952,980,991, 5629
36,81,111,120,140,193,201,247,265,273,333,351,373,437,635,649,671,675,718,743,752,766,781,798,815,824,841,844,853,951, 5632
39,152,199,224,253,254,279,302,303,329,339,380,451,499,526,650,693,699,738,745,757,825,849,904,906,930,969,975,990,996, 5634
13,54,57,65,70,92,190,199,213,266,284,449,530,537,642,706,716,724,743,747,754,757,777,783,828,834,840,857,862,896, 5635
55,77,80,132,169,174,294,360,394,416,446,457,460,472,522,639,664,670,686,691,755,792,815,818,863,874,875,883,897,946, 5642
22,60,61,79,91,264,295,313,362,367,380,387,450,480,492,657,681,689,765,818,855,859,876,878,885,887,907,923,932,957, 5646
24,35,41,173,188,247,282,326,346,350,351,392,401,408,431,648,674,681,682,707,720,731,759,772,776,780,842,847,929,995, 5668
143,177,200,208,213,245,362,365,407,413,439,455,472,475,531,536,658,689,704,748,787,799,811,812,824,947,957,958,964,970, 5676
26,89,149,183,234,302,318,325,329,371,419,449,463,502,533,534,642,731,749,752,803,832,839,845,885,889,912,952,954,969, 5684
26,127,187,276,287,301,307,312,359,395,407,419,460,473,508,511,519,643,713,730,745,788,807,828,855,861,912,920,949,991, 5684
57,63,78,96,106,119,176,217,254,261,340,410,444,498,502,685,689,716,758,822,835,848,927,932,949,951,953,959,961,983, 5686
4,6,88,198,294,305,330,344,363,400,413,417,419,450,453,503,531,686,701,732,767,768,807,825,887,914,932,942,956,980, 5687
22,68,88,180,282,286,326,331,344,352,424,440,444,456,480,518,519,681,771,776,795,804,821,845,869,871,897,900,905,945, 5691
30,57,86,124,125,162,200,263,289,316,320,367,381,392,456,635,695,718,722,728,752,806,824,834,870,872,956,962,979,997, 5692
5,86,162,171,193,254,329,342,371,387,407,422,465,495,517,536,639,658,673,718,765,767,772,800,810,862,873,880,959,982, 5700
26,48,55,76,93,123,129,284,287,291,315,322,374,440,498,533,709,740,742,777,832,842,857,866,881,894,931,955,988,993, 5709
12,80,83,128,189,194,300,363,369,385,439,456,462,474,490,511,667,672,711,717,727,754,800,815,846,895,914,915,925,927, 5715
19,36,42,59,182,184,189,195,197,210,316,391,474,476,497,638,658,660,665,698,701,709,771,787,821,859,863,985,986,988, 5715
8,24,174,188,257,264,307,369,380,386,416,462,472,478,500,509,647,725,730,773,782,786,787,796,817,881,926,953,954,973, 5717
99,157,162,181,193,217,252,326,346,360,430,439,451,466,478,493,645,671,688,721,769,791,810,843,888,930,932,945,977,981, 5720
5,111,129,269,278,284,294,299,326,352,374,413,419,441,445,452,502,685,703,731,757,796,825,844,861,936,949,970,975,991, 5730
132,170,195,218,251,286,317,341,350,384,397,475,488,498,507,530,534,700,745,808,818,843,855,860,896,943,945,948,966,968, 5734
12,128,161,173,185,226,229,238,301,331,338,387,388,428,448,475,662,671,698,711,719,783,786,788,826,850,860,863,882,935, 5764
20,29,43,49,62,71,91,92,131,143,159,177,194,211,276,609,644,691,694,757,775,780,809,818,877,899,926,968,988,991, 5767
22,59,83,110,141,158,171,179,188,271,284,300,308,345,387,440,666,730,750,776,780,781,797,828,857,882,885,907,976,983, 5767
13,54,64,122,142,151,163,217,227,240,262,306,320,402,439,533,646,699,718,732,762,782,856,880,904,950,967,974,983,992, 5769
4,40,84,163,175,212,220,245,277,323,342,438,440,447,527,533,692,695,720,722,731,759,762,788,795,814,840,879,891,894, 5772
8,21,42,111,149,300,308,349,367,396,403,419,453,458,462,466,493,498,665,722,827,833,848,855,869,880,890,900,959,981, 5777
127,151,158,182,213,252,255,270,285,360,368,392,400,451,454,468,528,655,676,688,690,741,807,850,874,894,902,917,952,962, 5785
14,44,81,95,97,285,286,321,326,337,398,399,406,435,436,446,503,517,679,687,694,699,756,757,783,883,944,945,947,957, 5789
12,18,30,46,49,86,186,191,224,307,325,337,377,394,429,436,641,701,703,705,719,727,866,877,919,921,967,977,992,996, 5789
10,29,40,79,163,174,187,223,252,277,279,328,345,440,485,497,636,726,733,744,791,803,822,859,869,876,893,947,979,993, 5790
7,37,38,69,88,157,170,185,231,302,308,331,343,358,388,495,669,706,766,848,882,900,906,909,930,961,964,965,968,984, 5791
5,25,44,72,88,156,206,219,230,255,292,315,368,379,414,535,666,691,729,737,785,789,807,808,858,866,929,943,964,990, 5810
16,124,129,140,176,178,224,250,382,385,407,422,429,468,513,535,539,644,651,733,746,754,799,840,902,925,943,961,982,993, 5817
2,7,22,38,79,105,188,195,223,231,268,270,540,558,605,633,637,674,675,683,689,693,759,798,831,836,866,939,941,993, 5829
17,113,133,141,181,222,233,268,319,372,393,412,415,432,447,448,525,670,732,737,744,784,808,809,828,845,931,980,985,996, 5830
13,30,46,60,75,123,168,170,186,224,225,232,235,248,276,542,547,646,680,684,707,730,751,800,814,873,900,908,934,946, 5833
0,21,110,120,125,127,253,267,352,354,362,363,370,377,508,524,536,642,675,679,697,715,753,786,788,828,850,887,902,980, 5835
0,42,85,123,127,138,204,241,283,319,322,335,343,354,390,464,472,649,699,712,715,738,748,751,762,769,784,857,948,975, 5837
5,10,36,120,134,155,215,220,327,379,393,398,412,454,478,531,533,645,700,726,780,783,792,851,855,892,942,965,978,994, 5840
40,67,71,127,133,142,253,312,348,407,412,416,426,459,460,467,486,503,652,693,694,751,789,800,815,859,942,951,974,998, 5847
1,47,63,82,131,137,210,237,289,321,356,364,377,479,481,487,505,640,679,708,728,775,777,792,897,899,919,956,962,966, 5848
21,26,149,203,228,248,262,283,314,341,362,381,403,438,511,516,523,527,661,717,765,779,787,809,903,956,967,970,974,991, 5849
11,14,76,97,207,221,249,259,319,343,348,377,471,476,498,518,529,651,657,659,675,721,729,799,804,812,822,874,935,992, 5855
71,99,119,142,220,222,253,290,291,360,375,393,472,479,497,507,524,528,658,662,690,735,738,814,826,882,904,920,947,976, 5857
42,152,169,186,202,214,256,261,317,339,398,475,484,487,489,498,502,533,639,689,711,759,792,816,830,843,875,889,958,977, 5859
67,172,175,192,219,243,253,261,290,298,358,423,437,456,478,521,523,528,658,722,735,745,794,806,865,874,884,905,953,957, 5860
17,55,100,120,154,198,210,224,234,260,261,288,429,454,468,500,506,656,660,733,758,786,799,841,845,869,879,917,927,992, 5862
22,72,80,96,114,194,197,205,251,252,306,323,369,378,422,445,527,671,721,724,728,763,771,820,874,911,930,956,962,976, 5866
46,75,173,180,194,195,228,246,296,302,344,396,407,445,447,458,462,510,684,739,777,792,858,880,912,915,969,984,985,986, 5874
13,95,145,181,182,185,218,224,258,301,308,311,347,370,456,462,491,500,722,772,777,795,871,881,900,913,931,944,964,984, 5877
3,10,31,37,45,84,155,194,197,235,243,255,270,548,553,592,633,661,707,754,757,779,809,897,904,920,922,952,974,992, 5878
1,12,14,15,21,110,165,203,283,284,305,320,365,412,454,465,517,537,705,730,744,755,785,844,856,862,875,883,954,974, 5887
36,41,47,85,104,126,129,130,143,209,233,249,257,547,611,630,632,667,698,705,709,717,821,825,828,891,941,952,985,996, 5887
35,54,72,124,166,192,239,253,301,308,311,319,345,353,376,384,401,441,758,791,812,813,814,822,873,925,928,950,965,987, 5897
13,29,30,42,55,58,115,122,125,159,171,201,211,215,553,616,634,643,659,705,716,734,755,766,806,847,887,901,934,938, 5899
26,63,102,135,147,210,229,232,290,300,328,330,366,431,459,512,535,538,636,685,690,696,714,782,812,847,923,931,943,967, 5903
46,81,88,106,115,162,180,221,255,388,391,392,425,466,490,494,497,519,639,674,747,760,777,794,882,932,942,972,982,987, 5904
8,9,19,20,82,125,197,269,307,318,363,373,418,429,488,513,520,521,672,715,753,755,782,799,815,914,932,943,976,981, 5905
56,88,118,132,167,172,247,258,275,372,407,411,433,437,453,520,524,526,639,661,662,666,706,728,830,862,865,912,955,974, 5909
12,34,54,141,152,166,199,258,262,278,325,355,356,368,369,412,428,506,636,660,676,715,725,763,793,855,938,955,970,977, 5917
37,43,60,73,123,127,165,176,198,200,215,239,242,251,252,547,593,599,665,685,712,719,754,755,827,829,844,848,915,918, 5918
20,49,51,64,141,167,181,215,222,324,333,344,362,396,485,513,533,535,682,710,745,753,762,825,868,891,898,921,987,992, 5918
10,17,41,78,81,97,166,294,336,356,357,375,381,400,401,428,526,537,538,646,697,741,756,760,776,814,832,833,872,982, 5926
65,71,87,115,124,133,205,292,309,339,381,395,419,425,433,501,521,522,523,536,728,758,770,771,819,829,889,956,984,994, 5937
15,32,49,71,80,128,161,162,169,188,189,200,211,262,264,540,610,623,691,692,694,702,710,729,739,846,903,910,962,976, 5939
42,48,118,123,150,215,227,229,306,330,345,363,365,454,474,492,507,533,536,654,704,717,750,760,840,861,928,934,979,980, 5941
9,26,74,76,89,133,142,158,171,180,194,271,352,354,359,478,516,527,649,672,678,744,789,803,818,840,844,851,863,980, 5947
38,79,88,131,145,201,203,217,278,356,371,390,395,400,453,472,513,536,538,646,703,773,814,825,877,885,889,910,937,945, 5949
37,46,51,83,133,135,170,182,210,221,225,332,399,436,447,478,492,516,652,683,778,793,794,800,823,826,855,919,925,991, 5953
41,81,90,124,203,222,259,270,281,359,382,416,444,453,468,497,502,504,505,704,720,726,797,813,818,873,918,942,950,955, 5953
3,50,97,106,124,135,145,146,149,178,233,310,314,390,420,435,472,536,653,686,690,709,714,734,743,761,793,879,887,947, 5953
2,39,79,115,129,200,212,243,301,325,334,342,383,400,416,422,498,515,525,649,651,653,709,760,807,823,846,849,850,936, 5956
27,42,56,104,108,124,166,172,190,209,235,260,383,400,410,432,494,524,644,670,684,692,753,763,812,882,902,917,940,949, 5965
4,12,13,18,25,95,123,152,158,160,218,219,250,256,572,585,616,632,636,681,751,793,801,844,864,872,918,936,952,963, 5971
4,10,48,64,95,137,147,202,229,240,256,261,262,550,566,595,623,634,723,761,764,782,788,796,799,848,916,941,949,975, 5974
3,6,9,15,32,40,62,71,111,135,146,153,198,243,254,569,571,581,701,720,761,771,782,796,851,877,885,898,922,942, 5987
38,48,86,134,135,165,171,195,233,265,311,321,323,349,491,508,509,511,520,648,665,707,708,732,770,786,844,906,923,968, 5988
5,30,34,96,144,158,204,240,256,260,305,328,338,371,373,468,491,506,517,667,695,721,758,785,801,836,895,949,955,965, 5996
16,17,25,43,79,97,166,181,188,266,308,314,333,399,402,408,509,519,525,655,664,709,789,889,899,924,943,962,965,984, 6006
10,52,76,91,100,103,112,162,232,253,271,421,453,458,464,480,513,526,529,662,666,695,700,731,768,845,849,868,880,950, 6020
31,61,69,87,111,130,171,224,248,274,277,346,365,380,391,419,423,502,518,676,717,733,737,779,794,854,855,901,923,954, 6026
23,62,74,94,96,132,168,188,212,242,267,306,308,332,373,378,450,461,519,703,769,814,819,829,852,870,888,956,957,973, 6030
5,24,100,101,110,120,159,189,241,243,253,274,332,350,383,385,456,511,531,641,690,748,789,810,833,836,877,898,949,997, 6038
26,37,67,108,109,117,164,171,186,207,216,229,250,269,616,620,624,627,628,635,646,727,776,782,807,819,822,845,878,890, 6041
25,30,62,101,145,163,168,243,247,282,292,341,396,496,507,515,519,532,535,539,645,665,669,681,736,740,745,782,785,839, 6044
20,25,92,107,119,138,209,224,263,310,341,353,406,424,483,511,518,525,526,532,640,734,739,775,805,830,898,919,961,984, 6060
10,22,73,92,132,141,205,206,272,285,294,310,342,364,403,404,412,435,483,512,524,680,691,722,744,750,803,865,945,984, 6099
27,30,46,57,63,66,82,123,140,151,171,204,252,255,272,293,329,380,462,517,645,680,700,713,755,772,900,960,964,992, 6108
10,22,42,43,45,80,94,99,112,140,152,166,183,188,242,273,278,586,587,607,629,641,703,704,764,834,847,911,939,979, 6191
6,25,63,89,90,94,132,133,145,164,172,183,194,223,231,562,571,605,609,629,632,664,670,710,712,910,939,967,983,992, 6205
22,31,38,43,49,65,71,115,158,171,225,236,248,265,544,577,583,584,612,617,620,623,653,710,789,799,808,812,817,983, 6267
54,56,73,96,100,102,135,148,153,171,193,201,232,237,251,271,276,550,572,573,575,598,617,643,707,732,736,890,901,913, 6292
Average fitness value: 5848.17
*END_DEBUG_OUTPUT*
